LegLength	ArmLength	ArmCirc
34.7	32.6	29.5
35.4	32.9	25.3
34.6	35.2	31.6
38.5	37.4	33.8
40.5	34	27.8
43.3	40	32
38.1	34.2	31.6
36.4	33.4	25.2
39.5	39	33.5
NaN	32	32.6
30	33	31
44.1	40.4	34.9
37	39.4	31.2
39	36	35.6
40.4	40	32.9
39.8	36.5	30.6
38.3	39	34.4
38.2	34.6	29
42.9	39.2	34.3
39	37.3	36.8
38.1	35.8	27.2
35	32.4	30.2
43.4	39	28.8
43.5	38	29.3
NaN	38	31.2
38.8	38.8	33.4
37.1	35.3	27.8
40	38	29.2
36.2	38	27.7
36.4	33.5	32.7
40.8	36.6	30.8
31.7	37	35
34	33	30.1
36.3	33.8	30.5
43	38.3	27.8
39.5	42	35.5
37.3	34.2	32.3
34	39	39.5
46	43.4	34.2
38.8	36	28.3
42.2	43.8	36.5
38.5	40.9	34.9
38	34.3	26.1
