LegLength	ArmLength	ArmCirc
40.7	37.4	31.2
41.5	37	28.8
38.8	36	29.7
43.5	38	31.1
39.9	37.9	32.8
38.5	43	40.4
45	40	30.6
45.5	46.4	40.7
40	39	30.1
42.5	36.2	24
37.2	37.6	30.5
37.2	38	38
37.8	36.2	32.7
33.3	31.5	30.1
40.4	34.8	26.2
30.7	33.4	28.3
47	41	26.7
42.6	38.2	28.3
33.5	36.3	34.7
41.7	35.7	39.7
42.3	38.5	30.1
40	39.7	42.1
36.1	38.1	42.5
46.1	40.5	37.5
43	41.2	35.5
34.8	35	28.7
36.8	37.8	35
33.6	35.5	27.7
38.7	38.4	29.6
41.6	37.6	31
44.5	39	28.1
37.5	42	40.5
24.2	33.4	37.2
40.3	40.6	31.2
39	38.5	33.3
36.5	36.8	33
41.4	36.5	34.4
40.4	37	27.2
36.4	33.7	29.2
30	35.4	37.3
43.1	40.5	36.1
39.5	38.2	32.2
35.2	32.6	22.1
41.2	39	31
36.8	32.7	23.6
41.4	38.3	34.4
34	32	33
41.1	38.5	32.1
43.3	41	31
35.3	33.5	25.7
40.3	38	27
37	35.5	34
44.2	42.9	37.8
34.6	32.8	25.1
42.4	42.5	38.3
36.2	37	34.6
31.2	30.6	30.5
38.2	34.6	38.2
NaN	36.9	25.9
36.2	32.5	31.3
27.5	35	41.2
37.8	33.3	22.4
43.7	38.3	33
33	35	31.4
37.7	38	28.5
34.1	34.5	39.6
NaN	41	33
35.1	35.5	24.3
37	36	32.2
45.3	41.4	28.5
43.7	38.3	33.5
42.6	40.8	33.9
39.7	37	28.4
38	34.2	24.8
32.8	38.5	38
34.2	33.8	24.8
39	35	26
35.4	39.5	37.7
34.2	35.2	34.8
39.1	37.1	30.7
39.5	40	38.7
47.2	44	35.7
32.1	38.5	35.5
38.3	38.2	37.8
38.4	38.1	31.7
40	41	39.1
36.3	37.2	34.3
29.7	33.2	28.8
43.3	40.9	38.5
47.6	41.6	38
39.6	39.7	35.4
39.6	37.1	34.9
41	38	29.7
40.1	36	30.7
30	NaN	44.2
37.6	35.8	25.6
39.3	36	28.2
42.5	40.3	33
41.9	38.5	31.2
32.1	36.8	38
41.6	36	27
40.1	39.2	34.5
33.6	35.2	37.3
